"","fips","year","county","Arsenic","DEHP","Nitrates","Uranium","% Fair/Poor","Physically Unhealthy Days","Mentally Unhealthy Days","% LBW","% Children in Poverty"
"57",6017,2010,"El Dorado",3.74191142191142,NA,0.094591023807798,10.45,11,2.5,2.8,6,10
"58",6017,2011,"El Dorado",1.22778816199377,NA,0.164657320872274,21.03,9.9,2.5,2.6,6.29,10.3
"59",6017,2012,"El Dorado",1.00559694033928,NA,0.176178861788618,15.11,10,2.6,2.8,6.5,11.6
"60",6017,2013,"El Dorado",1.21713360323887,1.5,0.0488475303236128,19.2354071661238,7,1.9,6.3,6.3,13.4
"61",6017,2014,"El Dorado",1.0363475457505,1.5,0.199103444490941,4.94897079276773,9.7,2.7,3.1,6.3,12.2
"62",6017,2015,"El Dorado",1.03800675675676,1.5,0.196053953797389,17.341214953271,9.7,2.7,3.1,6.348167539,13.8
"63",6017,2016,"El Dorado",1.01582454192115,1.5,0.0862680288461539,18.7966201032493,11.6,3.4,3.4,6.272401434,13.1
"64",6019,2010,"Fresno",1.83069339519876,1.5,4.6792513757335,2.83229371290509,18,4,3.4,7,29
"65",6019,2011,"Fresno",1.18199508437334,1.5,4.74964148517097,7.62975722518947,19.5,4.2,3.6,6.97,31.3
"66",6019,2012,"Fresno",1.21128929529227,1.5,4.69975265320325,5.58345328924058,20.4,4,3.5,7.2,38.2
"67",6019,2013,"Fresno",1.57212491505529,1.5,5.06819871180554,5.57573086893209,19.1,3.5,7.4,7.4,35.4
"68",6019,2014,"Fresno",1.70205388397599,1.5,5.42318205893847,0.594024909475538,23.4,4.2,3.7,7.4,40.1
"69",6019,2015,"Fresno",1.6170325293836,1.5,5.1569181972549,1.29335086491866,23.4,4.2,3.7,7.522024335,42
"70",6019,2016,"Fresno",1.16683229652931,1.5,4.38268045312896,4.1839935242997,21.8,4.3,4.2,7.613530116,38
"71",6021,2010,"Glenn",1.0605776444111,NA,2.55791865625527,1.39730228713144,NA,2.5,5,5,23
"72",6021,2011,"Glenn",1.14803548795944,NA,2.59123659796678,8.43,NA,3.9,5.5,4.82,26.2
"73",6021,2012,"Glenn",1.04722550177096,NA,2.68031009493849,1.71484741407003,NA,3.6,4.2,4.6,25.6
"74",6021,2013,"Glenn",1.02368987796123,NA,2.10499027126016,NA,NA,1.6,4.7,4.7,26.6
